V,V_err,C,C_err,C_mobile,V_abs,1_C2,1_C2_err,1_C2_F,1_C2_err_F,derivative_sigmoid,derivative,derivative2_C,derivative2_V,derivative_err,NB,NB_err,W,W_err
-24.5,0.1,8.2,0.2,9.66,25.1,0.010716321815430646,0.0007254682897810538,1.0716321815430645e+22,7.254682897810538e+20,3.81745634376293e+22,3.81745634376293e+22,1.7176979642382806,1.0656753161577316e+23,1.0729363512952552e+22,3.156952339066449e+18,8.872947373517701e+17,0.000101402644155556,1.4251572688185185e-05
-24.6,0.1,6.4,0.2,7.24,25.200000000000003,0.019077561734989774,0.0015258789062499998,1.9077561734989772e+22,1.5258789062499998e+21,4.98938444776891e+22,4.98938444776891e+22,1.3873880334374875,1.2606956527756869e+23,1.2783465226164576e+22,2.4154337794345523e+18,6.188661957952015e+17,0.00011615800227411577,1.4882395688949213e-05
-24.7,0.1,5.4,0.2,5.88,25.3,0.028923133879402103,0.0025402631712645425,2.8923133879402105e+22,2.5402631712645427e+21,6.3388476493142885e+22,6.3388476493142885e+22,1.437243563271609,1.3898025433384214e+23,1.4369577001857023e+22,1.9012174452607521e+18,4.3098828033678336e+17,0.00013118699886187146,1.4871695232895061e-05
-24.8,0.1,4.9,0.2,5.1,25.400000000000002,0.03844675124951942,0.003399943900925634,3.844675124951942e+22,3.399943900925634e+21,7.768989534445746e+22,7.768989534445746e+22,1.5134466051309383,1.3867102930227933e+23,1.479101377034872e+22,1.5512349038820288e+18,2.953323173191989e+17,0.00014552060978245107,1.3855453767269504e-05
-24.9,0.1,4.5,0.2,4.6000000000000005,25.5,0.04725897920604914,0.0043895747599451305,4.725897920604914e+22,4.38957475994513e+21,9.112268235359868e+22,9.112268235359868e+22,1.379723915295794,1.1913390192238218e+23,1.3364462662881689e+22,1.3225606865874365e+18,1.9397270206230845e+17,0.000157909666869663,1.1584009900124138e-05
-25.0,0.1,4.3,0.2,4.24,25.6,0.05562477750088999,0.005031003559435019,5.562477750088999e+22,5.031003559435019e+21,1.0151667572893371e+23,1.0151667572893371e+23,0.8742595031635627,7.643440669752548e+22,8.818624118285002e+21,1.1871475939486047e+18,1.0312599707178312e+17,0.0001669990712972398,7.260827929849154e-06
-25.2,0.1,3.9,0.2,3.94,25.8,0.06441804736014842,0.006743202009474199,6.441804736014841e+22,6.743202009474199e+21,1.058013462461096e+23,1.058013462461096e+23,-0.5798217805652883,-3.5892604244042313e+22,5.30751915781854e+21,1.1390713030903026e+18,5.7141454034148584e+16,0.00017115154711801566,4.305699156278661e-06
-25.4,0.1,3.6,0.2,3.66,26.0,0.07465137806443906,0.008573388203017831,7.465137806443905e+22,8.573388203017831e+21,8.715963403131684e+22,8.715963403131684e+22,-2.4289429937928846,-1.1076743276983044e+23,2.358695641665734e+22,1.3826960000080161e+18,3.741822766024615e+17,0.00015594438874017895,2.1102801869751055e-05
-25.7,0.1,3.4,0.2,3.38,26.3,0.08753194916144394,0.010177081213108083,8.753194916144393e+22,1.0177081213108082e+22,4.602791193722774e+22,4.602791193722774e+22,-2.6590125338030672,-1.1344914554266482e+23,2.9342870970122e+22,2.6183085928734177e+18,1.6691761143852096e+18,0.00011397612573354357,3.633063173464816e-05
-26.0,0.1,3.1,0.2,3.16,26.6,0.10014420765902898,0.013426873888087006,1.0014420765902899e+23,1.3426873888087004e+22,1.909014670571779e+22,1.909014670571779e+22,-1.6860303064023545,-6.7725564381827225e+22,2.362946952683319e+22,6.312957107928783e+18,7.814074449272247e+18,7.381945434260445e-05,4.568646378272123e-05
-26.5,0.1,2.9,0.2,2.9799999999999995,27.1,0.11260754020089188,0.01640083644265858,1.1260754020089188e+23,1.6400836442658578e+22,3.616519839697805e+21,3.616519839697805e+21,-0.7473611619963015,-1.8447807796200394e+22,1.2395394328834142e+22,3.3323549345531744e+19,1.1421436985915825e+20,3.243063488294223e-05,5.557701305413693e-05
-27.0,0.1,2.8,0.2,2.8200000000000003,27.6,0.12574820180071422,0.018221574344023328,1.2574820180071422e+23,1.8221574344023327e+22,6.423389095173981e+20,6.423389095173981e+20,-0.13299913466945318,-4.1731015600907695e+21,2.459120821541661e+21,1.876194568811188e+20,7.182795656724893e+20,1.379310478337475e-05,2.6402671435665868e-05
-28.0,0.1,2.7,0.2,2.7199999999999998,28.6,0.13516435986159173,0.02032210537011634,1.3516435986159172e+23,2.032210537011634e+22,1.9757949966716277e+19,1.9757949966716277e+19,-0.03223085988945994,-3.208664397194583e+20,6.557843792947005e+20,6.099584093505714e+21,2.024507590845097e+23,2.4625175629507764e-06,4.086660213238262e-05
-29.0,0.1,2.6,0.2,2.64,29.6,0.14348025711662074,0.022758306781975417,1.4348025711662074e+23,2.2758306781975416e+22,6.060300784815898e+17,6.060300784815898e+17,-0.0008886858972598754,-9.869681492566395e+18,2.02490537127354e+19,1.9886022429648335e+23,6.644441432997995e+24,4.3875120750981703e-07,7.329914082043013e-06
-30.0,0.1,2.6,0.2,2.6,30.6,0.14792899408284022,0.022758306781975417,1.4792899408284022e+23,2.2758306781975416e+22,1.858698158348678e+16,1.858698158348678e+16,-6.949400329041289e-05,-3.9472364748685235e+17,1.5820583409118582e+18,6.483854131772189e+24,5.518828037974369e+26,7.812508933163223e-08,3.3248660829496964e-06
-32.0,0.1,2.5,0.2,2.56,32.6,0.152587890625,0.0256,1.52587890625e+23,2.56e+22,17484254784723.89,17484254784723.89,-2.0413591208030334e-06,-4646741336618761.0,5.2260859343760136e+16,6.892788901850101e+27,2.0602712310080744e+31,2.4731914854999655e-09,3.696214506862898e-06
-34.0,0.1,2.6,0.2,2.52,34.6,0.15747039556563364,0.022758306781975417,1.5747039556563364e+23,2.2758306781975416e+22,16237011735.142914,16237011735.142914,-1.2252171240050386e-09,-5242570266794.644,27888795142295.473,7.422257204903326e+30,1.2748516417768884e+34,7.764553399026466e-11,6.6682232743753e-08
-37.0,0.1,2.5,0.2,2.5,37.6,0.16,0.0256,1.6e+23,2.56e+22,0.0,0.0,-4.871706216465805e-12,-2706168622.523819,124715972742.9404,inf,inf,0.0,
-40.0,0.1,2.4,0.2,2.44,40.6,0.16796560064498792,0.02893518518518519,1.6796560064498793e+23,2.8935185185185187e+22,0.0,0.0,,0.0,,inf,,0.0,
-45.0,0.1,2.5,0.2,2.44,45.6,0.16796560064498792,0.0256,1.6796560064498793e+23,2.56e+22,0.0,0.0,,0.0,,inf,,0.0,
-50.0,0.1,2.2,0.2,2.44,50.6,0.16796560064498792,0.03756574004507888,1.6796560064498793e+23,3.7565740045078876e+22,0.0,0.0,,0.0,,inf,,0.0,
